Z	rmin	rmax	Ite	slope	intercept
'1x1'	'1'	'1'	'30'	-0.16666666666666666	2.0
'40x20'	'1'	'40'	'30'	-0.80000000000000004	4.4000000000000004
'40x20'	'1'	'40'	'30'	-0.28571428571428575	2.5714285714285716
'40x20'	'1'	'40'	'30'	-3.5000000000000004	10.333333333333334
